日本語,Romaji,한국어
Poker face＆お願い！Fairy,Poker face&Onegai! Fairy,Poker face&부탁해! Fairy
Eutopia,Eutopia,Eutopia
EMOTION,EMOTION,EMOTION
stars we chase,stars we chase,stars we chase
Fashionista,Fashionista,Fashionista
Future Parade,Future Parade,Future Parade
Fuwa Fuwaアワー！,Fuwa Fuwa Hour!,Fuwa Fuwa 아워!
Level Oops! Adventures,Level Oops! Adventures,Level Oops! Adventures
ロマンスの中で,Romance no Naka de,로맨스 속에서
Look at me now,Look at me now,Look at me now
Vroom Vroom,Vroom Vroom,Vroom Vroom
バブルオーバー！,Bubble Over!,버블 오버!
Shadow Effect,Shadow Effect,Shadow Effect
Kiss the Sun,Kiss the Sun,Kiss the Sun
永遠の一瞬,Eien no Isshun,영원의 일순
OUR P13CES!!!,OUR P13CES!!!,OUR P13CES!!!
Blue!,Blue!,Blue!
Dancing in the Light,Dancing in the Light,Dancing in the Light
PASTEL,PASTEL,PASTEL
ミチノサキ,Michi no Saki,길의 끝
わちゅごなどぅー,What You Gonna Do?,What You Gonna Do?
