日本語,Romaji,한국어,歌,Singer,가수,Release,Link,Note
常夏☆サンシャイン,Tokonatsu☆Sunshine,한여름☆선샤인,澁谷かのん;唐可可;嵐千砂都;平安名すみれ,Kanon Shibuya;Keke Tang;Chisato Arashi;Sumire Heanna,시부야 카논;탕 쿠쿠;아라시 치사토;헤안나 스미레,2021-09-29,https://youtu.be/dd9i50ppx7g,
Wish Song,Wish Song,Wish Song,Liella!,Liella!,Liella!,2021-09-29,https://youtu.be/UgVSlQy3CfA,
バイバイしちゃえば！？,Bye Bye Shichaeba!?,바이바이해버리면?!,Liella!,Liella!,Liella!,2021-09-29,https://youtu.be/317eTPkfT-Y,
瞬きの先へ,Matataki no Saki e,반짝임의 너머로,Liella!,Liella!,Liella!,2021-09-29,https://youtu.be/TrifR0_8_iM,
ノンフィクション！！,Nonfiction!!,논픽션!!,Liella!,Liella!,Liella!,2021-10-20,https://youtu.be/4_06v7iS7bQ,
Starlight Prologue,Starlight Prologue,Starlight Prologue,Liella!,Liella!,Liella!,2021-10-20,https://youtu.be/H8PhMQrfEVA,
Day1,Day1,Day1,Liella!,Liella!,Liella!,2021-10-20,https://youtu.be/5UfSQq7C26M,
Dream Rainbow,Dream Rainbow,Dream Rainbow,Liella!,Liella!,Liella!,2021-10-20,https://youtu.be/O3HmG2RX0Mk,
Oh！レディ・ステディ・ポジティブ,Oh! Ready Steady Positive,Oh! 레디・스테디・포지티브,唐可可,Keke Tang,탕 쿠쿠,2021-10-27,NA,
Primary,Primary,Primary,Liella!,Liella!,Liella!,2021-10-27,https://youtu.be/Y1Dl389GoCo,
Memories,Memories,Memories,澁谷かのん,Kanon Shibuya,시부야 카논,2021-10-27,https://youtu.be/vKEs-n2BP7c,Kanon Ver.
Memories,Memories,Memories,嵐千砂都,Chisato Arashi,아라시 치사토,2021-10-27,https://youtu.be/2R1OEtTHLcQ,Chisato Ver.
Anniversary,Anniversary,Anniversary,唐可可,Keke Tang,탕 쿠쿠,2021-10-27,https://youtu.be/qiX_9lbpfZI,Keke Ver.
Anniversary,Anniversary,Anniversary,葉月恋,Ren Hazuki,하즈키 렌,2021-10-27,https://youtu.be/AiVVeTQJiLA,Ren Ver.
Message,Message,Message,平安名すみれ,Sumire Heanna,헤안나 스미레,2021-10-27,https://youtu.be/sAF-cLDVqmk,Sumire Ver.
Message,Message,Message,澁谷かのん,Kanon Shibuya,시부야 카논,2021-10-27,https://youtu.be/6NXzNu5leSk,Kanon Ver.
Ringing!,Ringing!,Ringing!,嵐千砂都,Chisato Arashi,아라시 치사토,2021-10-27,https://youtu.be/SPM0hSSUh10,Chisato Ver.
Ringing!,Ringing!,Ringing!,唐可可,Keke Tang,탕 쿠쿠,2021-10-27,https://youtu.be/RZU9dG1eEAk,Keke Ver.
Dears,Dears,Dears,葉月恋,Ren Hazuki,하즈키 렌,2021-10-27,https://youtu.be/Vmzt8gpiVDU,Ren Ver.
Dears,Dears,Dears,平安名すみれ,Sumire Heanna,헤안나 스미레,2021-10-27,https://youtu.be/Yz_cx8KkbCA,Sumire Ver.
Departure,Departure,Departure,Liella!,Liella!,Liella!,2021-10-27,https://youtu.be/AuZvn_JEbyA,
LIVE with a smile!,LIVE with a smile!,LIVE with a smile!,Aqours・虹ヶ咲学園スクールアイドル同好会・Liella!,Aqours・Nijigasaki High School Idol Club・Liella!,Aqours・니지가사키 학원 스쿨 아이돌 동호회・Liella!,2021-11-03,https://youtu.be/n-4U4iM4CL8,
LIVE with a smile! (Liella! Ver.),LIVE with a smile! (Liella! Ver.),LIVE with a smile! (Liella! Ver.),Liella!,Liella!,Liella!,2021-11-03,https://youtu.be/f2Dv1LPGrWA,
Shooting Voice!!,Shooting Voice!!,Shooting Voice!!,Liella!,Liella!,Liella!,2021-11-24,https://youtu.be/0Dy5FvpIC4Q,
勇気のカケラ,Yuuki no Kakera,용기의 조각,嵐千砂都,Chisato Arashi,아라시 치사토,2021-11-26,NA,
ヒロインズ☆ランウェイ,Heroine's Runway,히로인즈☆런웨이,平安名すみれ,Sumire Heanna,헤안나 스미레,2021-12-24,NA,
リバーブ,Reverb,리버브,葉月恋,Ren Hazuki,하즈키 렌,2022-01-26,NA,
HOT PASSION!!,HOT PASSION!!,HOT PASSION!!,Sunny Passion,Sunny Passion,Sunny Passion,2022-02-02,https://youtu.be/lZ9RHOwco_g,
Till Sunrise,Till Sunrise,Till Sunrise,Sunny Passion,Sunny Passion,Sunny Passion,2022-02-02,https://youtu.be/Cu5srL2Duk4,
トゥ トゥ トゥ！,Tu Tu Tu!,투 투 투!,Liella!,Liella!,Liella!,2022-02-25,NA,
探して！Future,Sagashite! Future,찾아라! Future,Liella!,Liella!,Liella!,2022-02-25,NA,
HAPPY TO DO WA！,HAPPY TO DO WA!,HAPPY TO DO WA!,唐可可;平安名すみれ;葉月恋,Keke Tang;Sumire Heanna;Ren Hazuki,탕 쿠쿠;헤안나 스미레;하즈키 렌,2022-02-25,NA,
Stella!,Stella!,Stella!,澁谷かのん;嵐千砂都;平安名すみれ,Kanon Shibuya;Chisato Arashi;Sumire Heanna,시부야 카논;아라시 치사토;헤안나 스미레,2022-02-25,NA,
変わらないすべて,Kawaranai Subete,변하지 않는 모든 것,澁谷かのん;嵐千砂都,Kanon Shibuya;Chisato Arashi,시부야 카논;아라시 치사토,2022-02-25,NA,
クレッシェンドゆ・ら,Crescendo Yu・Ra,크레센도 흔・들,唐可可;葉月恋,Keke Tang;Ren Hazuki,탕 쿠쿠;하즈키 렌,2022-02-25,NA,
What a Wonderful Dream!!,What a Wonderful Dream!!,What a Wonderful Dream!!,Liella!,Liella!,Liella!,2022-03-02,https://youtu.be/_RUHUwCINXY,
水色のSunday,Mizuiro no Sunday,물빛 Sunday,唐可可,Keke Tang,탕 쿠쿠,2022-03-02,https://youtu.be/VAOLoxnr7s0,
Flyer's High,Flyer's High,Flyer's High,嵐千砂都,Chisato Arashi,아라시 치사토,2022-03-02,https://youtu.be/gPrsIjtTYuk,
みてろ！,Mitero!,봐!,平安名すみれ,Sumire Heanna,헤안나 스미레,2022-03-02,https://youtu.be/sZ2A0qafxUo,
微熱のワルツ,Binetsu no Waltz,미열의 왈츠,葉月恋,Ren Hazuki,하즈키 렌,2022-03-02,https://youtu.be/OxM-4E7V5pY,
青空を待ってる,Aozora o Matteru,푸른 하늘을 기다리고 있어,澁谷かのん,Kanon Shibuya,시부야 카논,2022-03-02,https://youtu.be/ElmguCA0SuI,
ユニゾン,Unison,유니즌,Liella!,Liella!,Liella!,2022-03-02,https://youtu.be/Q3M0lEXnqMs,
WE WILL!!,WE WILL!!,WE WILL!!,Liella!,Liella!,Liella!,2022-08-03,https://youtu.be/NBBt0pqYqZU,
スター宣言,Star Sengen,스타 선언,Liella!,Liella!,Liella!,2022-08-03,https://youtu.be/L0auiy_wPNM,
追いかける夢の先で,Oi kakeru Yume no Saki de,뒤쫓아가는 꿈 너머에서,Liella!,Liella!,Liella!,2022-08-10,https://youtu.be/AKBV8afIcmE,
水しぶきのサイン,Mizushibuki no Sign,물보라의 신호,Liella!,Liella!,Liella!,2022-08-10,https://youtu.be/EL619Be7OLU,
Welcome to 僕らのセカイ,Welcome to Bokura no Sekai,Welcome to 우리들의 세계,Liella!,Liella!,Liella!,2022-08-17,https://youtu.be/oDnmWbGsNxA,
Go!! リスタート,Go!! Restart,Go!! 리스타트,Liella!,Liella!,Liella!,2022-08-17,https://youtu.be/lVdZGvEUno4,
色づいて透明,Irozuite Tomei,색이 물들어 투명,Liella!,Liella!,Liella!,2022-08-17,https://youtu.be/ueFfIkQegHw,
揺らぐわ,Yuragu wa,흔들려요,Liella!,Liella!,Liella!,2022-08-17,https://youtu.be/V2CXoystsAc,
ビタミンSUMMER！,Vitamin SUMMER!,비타민 SUMMER!,Liella!,Liella!,Liella!,2022-09-21,https://youtu.be/Y46i_cmiVio,
"Chance Day, Chance Way！","Chance Day, Chance Way!","Chance Day, Chance Way!",Liella!,Liella!,Liella!,2022-09-21,https://youtu.be/DVk8tmQEHy4,
ユートピアマジック,Utopia Magic,유토피아 매직,Liella!,Liella!,Liella!,2022-09-21,https://youtu.be/2f3r-4m74bM,
POP TALKING,POP TALKING,POP TALKING,Liella!,Liella!,Liella!,2022-09-21,https://youtu.be/rVjiNjDkYcE,
Sing！Shine！Smile！,Sing! Shine! Smile!,Sing! Shine! Smile!,Liella!,Liella!,Liella!,2022-10-19,https://youtu.be/b_Ddvt9GGX4,
未来の音が聴こえる,Mirai no Oto ga Kikoeru,미래의 소리가 들려와,Liella!,Liella!,Liella!,2022-10-19,https://youtu.be/_5tDFY2koq4,
名前呼びあうように,Namae Yobi au you ni,서로 이름을 부르듯이,Liella!,Liella!,Liella!,2022-10-19,https://youtu.be/AKfw3kU_p8M,
TO BE CONTINUED,TO BE CONTINUED,TO BE CONTINUED,Liella!,Liella!,Liella!,2022-10-19,https://youtu.be/KyYm4QJrCuo,
Dreamer Coaster,Dreamer Coaster,Dreamer Coaster,澁谷かのん,Kanon Shibuya,시부야 카논,2022-10-26,https://youtu.be/Vwbw9eKTzh8,Kanon Ver.
Dreamer Coaster,Dreamer Coaster,Dreamer Coaster,桜小路きな子,Kinako Sakurakoji,사쿠라코지 키나코,2022-10-26,https://youtu.be/dTWJ5iJMFOk,Kinako Ver.
エンドレスサーキット,Endless Circuit,엔드리스 서킷,唐可可,Keke Tang,탕 쿠쿠,2022-10-26,https://youtu.be/Eg2I-3IY_0A,Keke Ver.
エンドレスサーキット,Endless Circuit,엔드리스 서킷,平安名すみれ,Sumire Heanna,헤안나 스미레,2022-10-26,https://youtu.be/6ckg03Q2s5o,Sumire Ver.
迷宮讃歌,Meikyu Sanka,미궁 찬가,葉月恋,Ren Hazuki,하즈키 렌,2022-10-26,https://youtu.be/kI-fhYCns-E,Ren Ver.
迷宮讃歌,Meikyu Sanka,미궁 찬가,鬼塚夏美,Natsumi Onitsuka,오니츠카 나츠미,2022-10-26,https://youtu.be/10cEK_ZkBH8,Natsumi Ver.
プライム・アドベンチャー,Prime Adventure,프라임 어드벤쳐,Liella!,Liella!,Liella!,2022-10-26,https://youtu.be/3df7xcf2Tek,
パレードはいつも,Parade wa Itsumo,퍼레이드는 언제나,米女メイ,Mei Yoneme,요네메 메이,2022-10-26,https://youtu.be/7SFBS40mOpE,Mei Ver.
パレードはいつも,Parade wa Itsumo,퍼레이드는 언제나,若菜四季,Shiki Wakana,와카나 시키,2022-10-26,https://youtu.be/K7SGDEBvCno,Shiki Ver.
駆けるメリーゴーランド,Kakeru Merry-go-round,달리는 회전목마,嵐千砂都,Chisato Arashi,아라시 치사토,2022-10-26,https://youtu.be/312m8t6tqmQ,Chisato Ver.
駆けるメリーゴーランド,Kakeru Merry-go-round,달리는 회전목마,澁谷かのん,Kanon Shibuya,시부야 카논,2022-10-26,https://youtu.be/H3WJQUY1RtM,Kanon Ver.
Time to go,Time to go,Time to go,Liella!,Liella!,Liella!,2022-10-26,https://youtu.be/BUHUBa53aow,
Butterfly Wing,Butterfly Wing,Butterfly Wing,ウィーン・マルガレーテ,Wien Margarete,빈 마르가레테,2022-11-30,https://youtu.be/zmTIs9o7WII,
エーデルシュタイン,Edelstein,에델슈타인,ウィーン・マルガレーテ,Wien Margarete,빈 마르가레테,2022-11-30,https://youtu.be/XWT0OrJj80g,
Hoshizora Monologue,Hoshizora Monologue,밤하늘 모놀로그,澁谷かのん;唐可可;嵐千砂都;平安名すみれ;葉月恋,Kanon Shibuya;Keke Tang;Chisato Arashi;Sumire Heanna;Ren Hazuki,시부야 카논;탕 쿠쿠;아라시 치사토;헤안나 스미레;하즈키 렌,2022-12-23,NA,
Blooming Dance！Dance！,Blooming Dance! Dance!,Blooming Dance! Dance!,桜小路きな子;米女メイ;若菜四季;鬼塚夏美,Kinako Sakurakoji;Mei Yoneme;Shiki Wakana;Natsumi Onitsuka,사쿠라코지 키나코;요네메 메이;와카나 시키;오니츠카 나츠미,2023-01-27,NA,
Including you,Including you,Including you,Liella!,Liella!,Liella!,2023-02-24,NA,
Second Sparkle,Second Sparkle,Second Sparkle,Liella!,Liella!,Liella!,2023-03-15,https://youtu.be/XZlDeyBmoPs,
ビギナーズRock!!,Beginner's Rock!!,비기너즈 Rock!!,桜小路きな子,Kinako Sakurakoji,사쿠라코지 키나코,2023-03-15,https://youtu.be/inksbjoxQpw,
ミッドナイトラプソディ,Midnight Rhapsody,미드나이트 랩소디,葉月恋,Ren Hazuki,하즈키 렌,2023-03-15,https://youtu.be/C6jJduciSe0,
星屑クルージング,Hoshikuzu Cruising,별무리 크루징,唐可可,Keke Tang,탕 쿠쿠,2023-03-15,https://youtu.be/2kegGtIK4UY,
君を想う花になる,Kimi o Omou Hana ni Naru,너를 생각하는 꽃이 될 거야,嵐千砂都,Chisato Arashi,아라시 치사토,2023-03-15,https://youtu.be/lWz0WrtMMhk,
茜心,Akane Gokoro,붉은 마음,米女メイ,Mei Yoneme,요네메 메이,2023-03-15,https://youtu.be/o823ZK_gBlE,
ガラスボールリジェクション,Glass Ball Rejection,글래스볼 리젝션,若菜四季,Shiki Wakana,와카나 시키,2023-03-15,https://youtu.be/kE1c5jLjAIc,
Eyeをちょうだい,Eye o Choudai,Eye를 주세요,鬼塚夏美,Natsumi Onitsuka,오니츠카 나츠미,2023-03-15,https://youtu.be/wHD1DNV-ZOs,
Starry Prayer,Starry Prayer,Starry Prayer,平安名すみれ,Sumire Heanna,헤안나 스미레,2023-03-15,https://youtu.be/U3udO3oJ-vg,
Free Flight,Free Flight,Free Flight,澁谷かのん,Kanon Shibuya,시부야 카논,2023-03-15,https://youtu.be/R6GZGsBNQgo,
私のSymphony ~2022Ver.~,Watashi no Symphony ~2022Ver.~,나의 Symphony ~2022Ver.~,Liella!,Liella!,Liella!,2023-03-15,https://youtu.be/GNyAZZldK84,
